confirmation,trades_with,win_rate_with,avg_r_with,reached_1r_with,reached_2r_with,trades_without,win_rate_without,avg_r_without,avg_r_lift
close_below_demand,486,61.73,0.35,37.45,13.17,2881,44.29,-0.024,0.374
close_above_supply,474,61.81,0.274,38.82,10.34,2893,44.35,-0.01,0.284
bearish_structure,1677,46.27,0.036,33.69,12.82,1690,47.34,0.024,0.012
below_9ema,1677,46.27,0.036,33.69,12.82,1690,47.34,0.024,0.012
below_vwap,1677,46.27,0.036,33.69,12.82,1690,47.34,0.024,0.012
above_9ema,1690,47.34,0.024,32.78,12.19,1677,46.27,0.036,-0.012
above_vwap,1690,47.34,0.024,32.78,12.19,1677,46.27,0.036,-0.012
bullish_structure,1690,47.34,0.024,32.78,12.19,1677,46.27,0.036,-0.012
held_above_bottom,1216,41.69,-0.074,30.43,12.91,2151,49.7,0.089,-0.162
tested_demand,1216,41.69,-0.074,30.43,12.91,2151,49.7,0.089,-0.162
held_below_top,1191,39.97,-0.092,32.16,12.68,2176,50.55,0.097,-0.189
tested_supply,1191,39.97,-0.092,32.16,12.68,2176,50.55,0.097,-0.189
