audit_scope,first_event_after_entry,trades,sample_flag,profit_win_rate,target_hit_rate,avg_r,total_r,avg_mfe_r,avg_mae_r,avg_mfe_until_exit,avg_mae_until_exit,avg_mfe_full_day,avg_mae_full_day
all_trades,end_of_day_first,1373,ok,51.86,0.0,0.009,12.064,0.406,-0.4,0.406,-0.4,0.406,-0.4
all_trades,first_1r,929,ok,86.98,13.89,1.017,944.554,1.793,-0.408,1.793,-0.408,2.371,-1.044
all_trades,stop_zone_first,875,ok,0.0,0.0,-1.0,-875.0,0.333,-1.46,0.333,-1.46,1.641,-3.453
all_trades,same_candle_target_and_stop,61,ok,0.0,100.0,-1.0,-61.0,51.649,-172.452,51.649,-172.452,143.364,-1379.922
all_trades,same_candle_1r_and_stop,45,ok,0.0,0.0,-1.0,-45.0,1.527,-5.518,1.527,-5.518,13.713,-18.916
all_trades,first_2r,39,ok,71.79,51.28,1.509,58.84,2.985,-0.846,2.985,-0.846,5.862,-3.32
all_trades,target_3r_first,28,ok,100.0,100.0,3.0,84.0,5.665,-0.267,5.665,-0.267,17.089,-10.929
all_trades,same_candle_2r_and_stop,17,low_sample,0.0,0.0,-1.0,-17.0,2.385,-5.896,2.385,-5.896,15.398,-20.788
reversal_rejection,end_of_day_first,935,ok,49.95,0.0,-0.014,-12.929,0.373,-0.401,0.373,-0.401,0.373,-0.401
reversal_rejection,stop_zone_first,719,ok,0.0,0.0,-1.0,-719.0,0.34,-1.522,0.34,-1.522,1.793,-3.8
reversal_rejection,first_1r,569,ok,81.55,14.41,0.912,519.203,1.823,-0.486,1.823,-0.486,2.506,-1.449
reversal_rejection,same_candle_target_and_stop,61,ok,0.0,100.0,-1.0,-61.0,51.649,-172.452,51.649,-172.452,143.364,-1379.922
reversal_rejection,same_candle_1r_and_stop,44,ok,0.0,0.0,-1.0,-44.0,1.517,-5.605,1.517,-5.605,13.979,-19.308
reversal_rejection,first_2r,34,ok,70.59,52.94,1.526,51.878,3.032,-0.833,3.032,-0.833,6.056,-3.342
reversal_rejection,target_3r_first,28,ok,100.0,100.0,3.0,84.0,5.665,-0.267,5.665,-0.267,17.089,-10.929
reversal_rejection,same_candle_2r_and_stop,17,low_sample,0.0,0.0,-1.0,-17.0,2.385,-5.896,2.385,-5.896,15.398,-20.788
